X,Y,Z
-2706870.753084,4688870.155079,3360589.373050
-2706870.190084,4688870.718079,3360589.936049
-2706869.626084,4688871.282079,3360590.500048
-2706869.061084,4688871.847079,3360591.065047
-2706868.495085,4688872.413079,3360591.631046
-2706867.928085,4688872.980079,3360592.198045
-2706867.360085,4688873.548080,3360592.766044
-2706866.791085,4688874.117080,3360593.335042
-2706869.910556,4688878.125585,3360594.995806
-2706865.683393,4688875.289121,3360594.485887
-2706865.111393,4688875.861122,3360595.057886
-2706864.538393,4688876.434122,3360595.630885
-2706863.964393,4688877.008122,3360596.204884
-2706863.389393,4688877.583122,3360596.779883
-2706862.813393,4688878.159122,3360597.355881
-2706862.236394,4688878.736122,3360597.932880
-2706861.658394,4688879.314122,3360598.510879
-2706861.079394,4688879.893122,3360599.089878
-2706859.911815,4688880.235637,3360598.427254
-2706859.913090,4688881.051979,3360600.239658
-2706859.331090,4688881.633979,3360600.821657
-2706858.748090,4688882.216979,3360601.404655
-2706858.164090,4688882.800979,3360601.988654
-2706857.579090,4688883.385979,3360602.573653
-2706856.993091,4688883.971979,3360603.159652
-2706856.406091,4688884.558979,3360603.746651
-2706855.818091,4688885.146979,3360604.334650
-2706855.229091,4688885.735979,3360604.923648
-2706849.879127,4688887.678790,3360607.024675
-2706854.005120,4688886.929192,3360606.118287
-2706853.413120,4688887.521192,3360606.710286
-2706852.820120,4688888.114192,3360607.303285
-2706852.226121,4688888.708193,3360607.897284
-2706851.631121,4688889.303193,3360608.492282
-2706851.035121,4688889.899193,3360609.088281
-2706850.438121,4688890.496193,3360609.685280
-2706849.840121,4688891.094193,3360610.283279
-2706849.241121,4688891.693193,3360610.882278
-2706848.606586,4688894.450384,3360616.981287
-2706848.039810,4688892.913668,3360612.132919
-2706847.437810,4688893.515668,3360612.734917
-2706846.834810,4688894.118668,3360613.337916
-2706846.230810,4688894.722668,3360613.941915
-2706845.625811,4688895.327668,3360614.546914
-2706845.019811,4688895.933668,3360615.152913
-2706844.412811,4688896.540668,3360615.759911
-2706843.804811,4688897.148668,3360616.367910
-2706843.195811,4688897.757668,3360616.976909
-2706839.849663,4688903.472064,3360616.784772
-2706841.950110,4688899.024750,3360618.190665
-2706841.338111,4688899.636750,3360618.802664
-2706840.725111,4688900.249750,3360619.415662
-2706840.111111,4688900.863750,3360620.029661
-2706839.496111,4688901.478750,3360620.644660
-2706838.880111,4688902.094750,3360621.260659
-2706838.263111,4688902.711750,3360621.877657
-2706837.645112,4688903.329750,3360622.495656
-2706837.026112,4688903.948750,3360623.114655
-2706834.988251,4688900.711587,3360622.208857
-2706835.772312,4688905.154929,3360624.341878
-2706835.150312,4688905.776929,3360624.963877
-2706834.527312,4688906.399929,3360625.586875
